country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Iceland,4.06,4.11,3.61,3.64,4.21,3.63,3.65,3.69,3.72,3.68,3.57
Israel,7.47,7.31,7.34,7.43,7.37,7.17,7.09,7.07,7.12,7.14,6.97
Italy,6.92,7.03,7.12,7.23,7.36,7.4,7.4,7.55,7.56,7.58,7.63
Jamaica,,,,0.832,,,,,0.397,,
Jordan,1.87,2.04,2.2,2.28,2.04,2.24,2.29,2.44,2.22,2.13,2.23
Japan,1.92,,1.97,,2.02,,2.07,,2.14,,2.21
Kazakhstan,3.28,3.44,3.58,3.62,3.59,3.6,3.7,3.65,3.72,3.78,3.93
Kenya,,,0.134,,,,,,0.166,0.169,0.17
Kyrgyz Republic,2.8,2.7,2.59,2.57,2.56,2.52,2.45,2.36,2.35,2.34,2.34
Cambodia,0.168,,,,,,,,0.244,0.238,0.23
Kiribati,,,,,,,,,0.253,,0.398
St. Kitts and Nevis,,1.1,,,,,,,,,
South Korea,1.29,1.38,1.48,1.55,1.55,1.61,1.67,1.72,1.84,1.92,1.98
Kuwait,,,,1.9,1.5,1.8,1.45,1.88,1.88,1.89,2.43
Lao,0.285,,,,0.353,0.281,,,,0.197,
Lebanon,,2.88,,,,,2.47,2.35,,,2.34
Liberia,,,,,0.0328,,,,0.0141,0.024,0.0231
Libya,,,,,1.24,,,,1.84,1.96,
St. Lucia,,0.819,0.439,0.467,0.42,0.508,,0.185,0.159,0.104,1.65
Sri Lanka,0.424,0.443,,,0.54,0.522,0.522,0.555,0.624,0.683,0.724
Lesotho,,,,0.0441,,,,,,,0.0692
Lithuania,3.62,3.63,3.7,3.67,3.62,3.7,3.75,3.85,3.86,3.85,3.91
Luxembourg,2.79,2.87,2.94,3.08,3.16,2.6,2.62,2.72,2.74,2.72,2.77
Latvia,2.86,2.66,2.76,2.81,2.9,2.94,3.02,3.15,3.24,3.15,3.08
"Macao, China",,,,,,,,,,,
Morocco,,0.483,,,0.531,,,0.586,,0.648,
Monaco,,,,,,,,,,,
Moldova,2.46,2.29,2.31,2.28,2.18,2.38,2.38,2.39,2.35,2.39,2.38
Madagascar,,0.087,0.136,0.148,0.156,0.18,0.171,0.181,0.186,0.181,0.195
Maldives,,,,,0.97,,,1.65,,1.49,1.44
Mexico,3.25,3.03,3.05,3.16,3.31,3.53,3.76,3.84,3.9,3.96,4.0
Marshall Islands,0.471,,,,,,,0.554,,,0.567
North Macedonia,2.19,2.18,2.23,2.17,2.18,2.13,2.51,2.45,2.59,2.59,2.68
Mali,0.044,,,,0.0851,,,0.0776,,0.0923,0.102
Malta,2.6,3.08,3.27,3.13,,,,,3.36,1.92,2.15
Myanmar,0.302,,,,0.366,0.38,0.416,0.439,0.475,0.488,0.522
Montenegro,1.88,1.91,1.9,1.85,1.94,1.95,1.99,1.99,2.11,2.1,2.04
Mongolia,,,2.76,,,,,,2.88,2.67,2.76
Northern Mariana Islands,,,,,,,,,,,
Mozambique,0.024,,,,0.0258,,0.026,,,0.0455,0.0487
Mauritania,,,,,0.106,,,,,0.131,0.157
Mauritius,,,,,1.07,,,1.15,1.17,1.19,1.2
Malawi,,,,0.011,0.0216,,,,0.0187,0.0188,
Malaysia,0.696,,0.703,,,,,,0.922,,1.17
Namibia,,,,,0.314,,,0.386,,,
New Caledonia,,,,,,,,,,,
Niger,,,0.033,,0.0226,,,,0.0189,0.0277,
Nigeria,0.269,,,0.265,,0.282,0.348,0.378,0.376,0.378,
Nicaragua,,,,0.386,,0.5,0.492,0.526,0.649,0.703,0.728
Netherlands,2.44,2.52,2.58,2.62,2.65,2.7,2.78,2.77,2.85,2.91,2.95
Norway,3.37,3.53,3.27,3.27,3.44,3.61,3.78,3.89,4.0,4.05,4.12
Nepal,,0.052,,,0.212,,,,,,
Nauru,,,,,1.01,,,,1.01,1.01,1.1
New Zealand,2.23,2.17,2.12,2.18,2.19,2.11,2.27,2.29,2.45,2.57,2.61
Oman,1.44,,,,1.58,1.67,1.77,1.85,1.89,1.93,1.93
Pakistan,0.645,0.659,,,0.742,0.788,,0.762,0.781,0.795,0.808
Panama,,1.24,1.33,1.34,1.32,1.35,1.35,1.3,1.38,1.31,1.41
Peru,,,,,,,,1.66,,0.947,
Philippines,1.22,1.22,1.11,1.23,1.11,1.23,1.24,1.24,1.26,1.26,1.27
Palau,,,,,,,1.33,,,1.58,1.61
Papua New Guinea,0.047,,,,,,,,0.0477,,0.0514
Poland,2.21,2.25,2.29,2.42,2.28,2.13,2.17,2.18,2.15,2.16,2.17
Puerto Rico,,,,,,,,,,,
North Korea,,,,3.17,,,,,3.29,,
Portugal,3.2,3.26,3.3,3.35,3.42,3.5,3.57,3.65,3.74,3.85,3.98
Paraguay,1.17,,1.15,,,,,,,,
Palestine,,0.837,,,,,,,,,
French Polynesia,1.7,,,,,,,,,,
Qatar,,2.22,,,,2.48,2.26,,3.21,3.1,3.73
Romania,1.95,1.98,2.1,,2.23,2.21,2.21,2.29,2.41,2.44,2.48
Russia,6.97,6.94,7.02,7.06,7.09,7.13,7.27,7.32,7.29,7.36,7.2
Rwanda,,,0.019,,0.049,0.024,,,0.052,0.055,0.055
Saudi Arabia,0.724,0.682,,,,,,,2.06,2.08,2.41
Sudan,0.158,,,,0.25,,0.35,0.35,0.327,,
Senegal,,,,,0.0549,,,,0.0617,,
Singapore,,1.41,,1.55,1.55,1.58,1.57,1.61,1.64,1.68,1.72
Solomon Islands,,,,0.134,,0.189,,,0.177,,
Sierra Leone,,,,,0.0309,,,,0.0155,,0.0212
El Salvador,,,1.33,,,1.71,,,1.88,,
San Marino,,,,,,,,,,,
Somalia,,,,,,,0.0279,,,,
Serbia,,,,2.21,2.27,2.26,2.29,2.34,2.42,2.45,2.48
Sao Tome and Principe,,,,,0.527,,,,,,
Suriname,0.406,,,,0.81,,,,,0.705,
Slovak Republic,3.23,3.21,3.19,3.13,3.14,3.02,3.16,3.37,3.36,3.3,3.35
Slovenia,2.15,2.18,2.23,2.26,2.31,2.35,2.37,2.39,2.4,2.42,2.44
Sweden,3.02,3.12,3.21,3.29,3.37,3.45,3.54,3.62,3.67,3.74,3.8
Eswatini,,0.177,,0.156,0.167,,,,,0.164,
Seychelles,,,,,1.38,1.17,0.838,1.01,0.773,1.13,1.1
Syria,1.37,,1.47,1.41,1.45,1.54,,1.49,1.49,1.41,1.46
Chad,0.0281,,,,0.0354,,0.0352,,,,
Togo,,0.057,,,0.0446,,,0.049,0.0574,,0.0506
Thailand,,0.298,0.296,,0.291,,0.287,0.296,0.316,0.339,0.391
Tajikistan,2.17,2.12,2.04,1.94,1.95,1.95,1.92,1.9,1.93,1.64,1.7
Turkmenistan,2.75,2.77,7.09,2.67,2.61,2.5,2.39,2.34,2.3,2.29,2.27
Timor-Leste,,,,,0.082,,,0.034,0.037,0.044,0.079
Tonga,0.499,0.355,0.303,,,,,,0.551,0.597,0.558
Trinidad and Tobago,1.01,0.97,0.825,0.809,,,1.22,1.18,,1.51,1.81
Tunisia,0.767,0.793,0.807,0.823,1.33,0.932,,1.02,1.11,,1.22
Turkey,1.35,1.4,1.41,1.43,1.45,1.49,1.52,1.56,1.61,1.66,1.71
Tuvalu,,,0.625,1.03,,,,,0.971,1.15,
Tanzania,,,0.0233,,,,,,,,
Uganda,,,0.047,,0.0824,0.121,,,,,
Ukraine,3.03,3.03,3.02,3.01,3.02,3.02,3.08,3.09,3.12,3.49,3.48
Uruguay,,,3.72,,,,,,3.95,,
USA,2.59,,,,2.71,,,,,,
Uzbekistan,2.96,2.91,2.85,2.78,2.72,2.67,2.65,2.63,2.6,2.57,2.54
St. Vincent and the Grenadines,0.826,0.575,,,0.931,,,,,,0.665
Venezuela,,1.95,,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,
Vietnam,,0.524,0.551,,,0.614,0.624,0.641,0.665,0.698,0.71
Vanuatu,,,,,0.147,,,0.118,0.116,,
Samoa,,,,0.282,,0.278,,,0.464,,0.344
Yemen,,,,,0.345,,,,0.316,0.317,
South Africa,,,,,0.737,,,0.699,0.697,0.707,0.721
Zambia,,,,,0.13,0.0545,0.0533,,0.0619,0.0606,0.0614
Zimbabwe,0.126,,,,0.173,0.126,,0.0544,0.0596,0.121,0.127
