country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Georgia,83.0,82.2,84.0,85.2,84.7,80.8,78.9,82.3,80.2,77.7,76.4
Ghana,51.3,43.0,50.3,48.7,38.1,33.6,43.5,37.6,42.0,43.3,40.5
Guinea,81.3,78.5,78.7,75.8,83.1,88.7,87.2,92.0,86.1,91.8,88.7
Gambia,66.2,62.6,62.5,49.7,42.2,45.0,43.2,51.8,52.0,46.5,49.1
Guinea-Bissau,83.8,83.8,63.9,76.9,84.3,84.1,84.6,83.8,84.7,89.4,90.0
Equatorial Guinea,53.7,40.1,21.6,33.8,42.8,41.2,33.7,30.1,44.3,24.0,24.1
Greece,40.0,39.2,42.0,40.2,40.9,39.9,38.0,39.6,40.1,38.3,40.6
Grenada,48.0,41.1,47.2,50.9,53.1,52.3,50.2,52.7,54.9,50.8,55.0
Guatemala,60.3,62.6,64.6,63.1,65.8,66.2,66.9,66.6,65.5,63.7,65.1
Guyana,17.6,18.7,18.1,20.6,26.7,34.6,34.3,43.0,9.2,13.4,14.6
Honduras,33.2,33.6,35.7,26.0,35.0,35.2,39.0,38.5,38.8,33.7,
Croatia,13.9,16.7,19.9,17.4,18.9,14.0,13.9,13.0,15.1,15.1,15.1
Haiti,72.3,73.8,77.3,79.4,77.4,78.7,76.2,76.1,74.7,78.2,78.5
Hungary,29.3,31.0,29.8,27.2,27.6,27.7,27.5,29.7,29.0,30.3,30.6
Indonesia,63.9,56.8,61.9,59.9,60.5,61.9,58.6,54.2,53.5,53.9,50.9
India,74.0,76.1,76.8,77.2,77.3,76.1,75.2,74.2,72.4,69.7,70.8
Ireland,24.9,24.3,23.7,23.5,22.6,23.0,23.2,23.1,23.3,25.1,30.8
Iran,58.4,56.3,56.0,54.2,56.5,55.8,53.6,55.4,53.7,58.9,59.9
Iraq,98.9,98.3,97.1,54.6,27.8,32.6,36.2,30.5,25.4,21.9,18.8
Iceland,18.5,18.6,17.7,18.0,18.5,18.3,17.8,17.1,16.5,17.8,19.3
Israel,36.0,36.8,35.4,37.1,37.7,39.5,39.7,40.6,39.6,39.7,39.7
Italy,27.5,25.4,25.5,25.5,24.0,23.8,23.4,23.4,22.5,22.1,22.4
Jamaica,47.4,56.6,42.6,49.5,43.3,51.2,45.3,48.0,46.5,44.6,46.5
Jordan,52.0,51.7,50.1,50.6,47.1,47.3,45.1,40.2,38.1,29.7,32.3
Japan,19.2,18.6,18.7,19.6,19.3,18.4,20.6,19.6,19.2,17.7,17.5
Kazakhstan,49.1,43.5,46.6,45.5,42.0,38.1,41.5,47.8,41.5,40.8,40.6
Kenya,53.7,55.3,57.2,56.6,58.1,57.8,58.7,57.6,60.3,56.7,55.7
Kyrgyz Republic,55.7,58.9,60.5,62.1,59.2,59.1,53.8,50.9,51.6,47.0,43.8
Cambodia,79.6,76.5,73.7,71.9,71.3,79.5,75.0,67.7,67.4,63.4,62.8
Kiribati,5.4,5.06,5.02,5.25,4.97,5.93,14.3,16.5,15.7,15.3,17.7
St. Kitts and Nevis,39.6,40.3,42.7,43.5,46.6,45.4,42.3,47.0,51.1,50.9,39.4
South Korea,51.4,45.1,46.3,47.6,47.4,47.1,44.7,44.2,44.0,41.8,41.0
Kuwait,24.0,18.6,20.2,19.8,20.3,20.2,18.9,21.3,21.8,14.6,19.6
Lao,64.9,72.0,73.1,74.0,82.7,87.2,86.6,88.0,75.3,71.7,66.7
Lebanon,67.4,62.7,56.5,59.4,57.0,54.4,57.4,58.4,56.6,58.1,60.8
Liberia,73.6,70.6,78.5,77.2,74.1,69.3,72.2,76.3,67.0,65.5,67.5
Libya,42.8,35.4,35.2,36.5,37.0,38.2,39.0,34.1,29.7,33.9,31.2
St. Lucia,38.1,38.3,40.5,45.5,43.5,47.4,51.3,52.5,48.9,37.0,39.5
Sri Lanka,51.2,53.9,56.8,56.8,52.3,51.9,51.1,50.6,53.2,53.8,55.3
Lesotho,48.8,41.9,44.5,41.6,42.6,46.6,40.0,33.6,29.9,25.7,23.8
Lithuania,30.3,27.4,25.1,24.0,32.4,32.2,30.5,27.0,27.6,26.6,26.5
Luxembourg,14.9,15.8,14.5,15.8,15.2,15.1,14.9,15.9,15.9,16.0,15.6
Latvia,45.6,48.8,47.9,47.2,43.4,42.9,35.9,39.3,37.5,38.4,38.9
Morocco,70.6,67.8,74.0,73.4,72.6,71.6,67.2,63.7,63.1,61.3,62.0
Monaco,12.9,12.6,12.8,11.9,11.9,11.8,12.0,12.7,12.3,12.0,11.9
Moldova,51.5,54.9,49.9,52.4,50.7,54.4,55.6,54.8,52.8,51.5,54.2
Madagascar,33.5,30.8,32.9,35.9,34.6,33.6,33.0,33.8,31.3,35.5,39.7
Maldives,41.5,41.9,41.9,47.8,43.7,35.7,34.8,34.6,30.6,39.3,39.5
