country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Ghana,99.5,95.8,92.4,89.3,86.6,84.2,81.8,79.3,76.4,73.2,69.9
Guinea,166.0,159.0,152.0,145.0,139.0,134.0,130.0,126.0,123.0,120.0,117.0
Gambia,115.0,110.0,106.0,102.0,97.8,93.8,90.0,86.3,83.1,80.0,77.1
Guinea-Bissau,175.0,169.0,163.0,157.0,151.0,145.0,139.0,132.0,126.0,120.0,114.0
Equatorial Guinea,157.0,152.0,148.0,144.0,139.0,134.0,130.0,125.0,120.0,116.0,112.0
Greece,6.41,5.98,5.57,5.2,4.86,4.56,4.31,4.11,3.97,3.91,3.91
Grenada,15.6,15.3,15.0,14.8,14.6,14.4,14.3,14.2,14.2,14.2,14.2
Guatemala,51.7,49.6,47.7,45.8,44.0,42.3,40.8,39.2,37.8,36.4,35.0
Guyana,46.6,45.5,44.4,43.4,42.4,41.5,40.7,39.8,39.0,38.2,37.4
"Hong Kong, China",4.15,3.91,3.7,3.51,3.35,3.22,3.1,3.0,2.91,2.82,2.74
Honduras,37.1,35.5,33.8,32.3,30.8,29.4,28.1,26.9,25.7,24.6,23.6
Holy See,37.4,35.4,33.5,31.8,30.3,29.0,28.0,27.1,26.1,25.3,24.4
Croatia,8.31,8.0,7.68,7.36,7.04,6.73,6.43,6.15,5.9,5.67,5.47
Haiti,103.0,100.0,96.8,94.1,91.6,89.3,87.2,85.2,83.3,81.5,209.0
Hungary,10.2,9.54,8.94,8.4,7.95,7.55,7.19,6.85,6.52,6.22,6.0
Indonesia,52.4,50.0,47.8,45.7,49.7,41.9,40.1,38.5,37.0,35.5,34.1
India,91.6,88.0,84.5,81.1,77.7,74.4,71.1,67.9,64.7,61.4,58.2
Ireland,7.15,6.89,6.5,6.04,5.59,5.19,4.86,4.62,4.44,4.3,4.17
Iran,34.3,32.4,30.6,28.9,27.4,25.9,24.4,23.1,21.8,20.7,19.7
Iraq,44.3,43.4,42.5,41.6,40.7,39.8,38.9,37.9,36.9,35.8,34.8
