country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Poland,0.0191,0.0191,0.00765,,0.0191,0.0305,0.00381,0.00762,0.00381,0.0,0.0
Paraguay,,0.442,0.698,0.444,0.323,0.36,0.523,0.457,0.269,0.362,0.344
Palestine,,,,,0.00744,,,0.0321,,0.00296,
Romania,,0.544,0.572,0.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia,,1.3,0.742,0.55,1.01,0.315,0.242,0.128,0.0,0.0426,
Rwanda,6.66,,,,,,6.95,,,,
Sudan,,,,,,,,,,6.9,
Senegal,,4.47,,,,3.78,,,,,
Sierra Leone,,,,2.8,,,,,,,
El Salvador,0.815,0.862,0.882,0.808,0.485,0.432,0.26,0.174,0.296,0.262,0.322
Serbia,,,0.0195,0.0232,0.0306,0.0439,0.0185,0.00886,0.00294,0.00513,0.00365
Sao Tome and Principe,,0.0399,,,,,,,,,0.0776
Suriname,,,,,,,,,,,
Slovak Republic,,,,,0.00913,0.00269,0.0,,0.0,0.0,0.0216
Slovenia,,,0.001,0.0,0.0012,0.0016,0.001,,0.0002,,0.0002
Sweden,0.0302,,,,,0.0316,,,,,
Eswatini,,0.462,,,,,,,,,0.469
Seychelles,0.0,,,,,,,0.00021,,,
Syria,,,,,0.302,,,,,,
Chad,,,,5.77,,,,,,,
Togo,,,,,,,3.02,,,,
Thailand,1.89,,1.05,,,,0.665,,0.212,,0.206
Tajikistan,,,,2.31,1.38,,,0.866,,0.482,
Turkmenistan,,,,,,,,,,,
Timor-Leste,,,,,,,,0.354,,,
Trinidad and Tobago,,,,,,,,,,,
Tunisia,0.244,,,,,0.138,,,,,0.0781
Turkey,,,0.748,1.89,0.943,0.982,0.926,0.66,0.0704,0.257,0.426
Tanzania,28.7,,,,,,,27.9,,,
Uganda,,,14.7,,,,15.4,,,12.5,
Ukraine,,,0.203,0.0526,0.019,0.0236,0.0655,0.0279,0.0,0.0276,0.0
Uruguay,0.0159,0.0203,0.0263,0.0316,0.0396,0.0436,0.0243,0.016,0.00871,0.00907,0.00674
USA,1.89,,,,2.93,,,4.01,,,5.17
Venezuela,,2.38,4.01,4.92,4.17,3.52,1.8,,,,
Vietnam,,,31.9,,25.6,,17.9,,14.3,,3.42
Yemen,,,,,,1.97,,,,,
South Africa,11.5,,,,,,8.07,,,6.87,
Zambia,,,,7.04,7.18,,8.07,,,,9.82
