Guinea-Bissau,564,564,546,537,539,548,547,551,554,558,569
Equatorial Guinea,3940,6130,6990,7600,10k,11.2k,11.5k,12.7k,14.2k,13.7k,11.9k
Greece,18.6k,19.3k,20k,21.1k,22.1k,22.2k,23.4k,24.1k,23.9k,22.8k,21.6k
Grenada,6680,6510,6720,7320,7220,8120,7750,8170,8190,7600,7510
Greenland,31.6k,31.9k,31.5k,32.8k,35k,36.7k,38.8k,39.9k,42.5k,42.9k,43.2k
Guatemala,3200,3190,3240,3250,3280,3320,3430,3570,3620,3570,3610
Guam,,,29.5k,29.6k,31.4k,32.5k,31.3k,31.5k,32.1k,32.3k,33k
Guyana,3790,3870,3910,3890,3950,3870,4080,4380,4480,4650,4870
"Hong Kong, China",26.9k,26.9k,27.2k,28.1k,30.3k,32.4k,34.5k,36.4k,36.9k,35.9k,38.1k
Honduras,1770,1770,1790,1820,1890,1950,2030,2110,2150,2050,2090
Croatia,8810,9430,9970,10.5k,11k,11.4k,12k,12.6k,12.8k,11.9k,11.8k
Haiti,1330,1300,1290,1320,1280,1300,1300,1340,1350,1410,1310
Hungary,8970,9350,9830,10.3k,10.8k,11.3k,11.7k,11.8k,11.9k,11.2k,11.3k
Indonesia,1850,1890,1940,2010,2080,2170,2260,2380,2490,2570,2700
India,755,778,793,841,892,948,1010,1070,1090,1160,1240
Ireland,42.1k,43.6k,45.4k,46k,48.3k,50k,51k,52.2k,48.9k,45.9k,46.4k
Iran,3930,3950,4230,4550,4680,4750,4910,5230,5170,5160,5380
Iraq,4140,4080,3630,2230,3320,3280,3440,3530,3750,3740,3850
Iceland,42.2k,43.3k,43.1k,43.8k,46.8k,48.9k,50.7k,53.6k,53.8k,49.5k,48.2k
Israel,29.3k,28.7k,28.1k,28k,28.8k,29.5k,30.6k,31.9k,32.3k,31.9k,33k
Italy,32.4k,33k,33k,32.9k,33.2k,33.3k,33.8k,34.1k,33.5k,31.6k,32.1k
Jamaica,4920,4960,5040,5200,5240,5260,5390,5440,5380,5120,5030
Jordan,3640,3750,3880,3950,4180,4410,4450,4520,4730,4860,4870
Japan,31.4k,31.5k,31.4k,31.8k,32.5k,33.1k,33.5k,34k,33.6k,31.7k,32.9k
Kazakhstan,4450,5060,5550,6050,6580,7160,7840,8440,8550,8490,8980
Kenya,1190,1200,1170,1170,1190,1220,1260,1310,1270,1280,1340
Kyrgyz Republic,718,749,742,786,831,821,837,900,966,982,966
Cambodia,488,518,543,578,627,698,760,823,863,851,889
Kiribati,1480,1430,1450,1450,1400,1440,1410,1410,1360,1340,1300
St. Kitts and Nevis,13.9k,14.5k,14.6k,14k,14.5k,15.9k,16.3k,16.4k,18.1k,17.5k,17.4k
South Korea,17k,17.7k,18.9k,19.4k,20.4k,21.2k,22.2k,23.4k,23.9k,23.9k,25.5k
Kosovo,,,,,,,,,2620,2730,2840
Kuwait,31.7k,30.8k,30.9k,35.3k,38k,40.5k,41.2k,41.1k,39.9k,35.1k,32.6k
Lao,917,954,995,1040,1090,1150,1230,1300,1380,1470,1570
Lebanon,5970,6100,6230,6350,6670,6750,6740,7230,7760,8450,9040
Liberia,763,763,771,534,542,545,557,580,597,609,628
Libya,11.2k,10.7k,10.4k,11.4k,11.6k,12.7k,13.2k,13.7k,13.4k,12.6k,12.9k
St. Lucia,9190,8820,8790,9090,9680,9580,10.1k,10.2k,10.6k,10.3k,10.4k
Liechtenstein,,,,,,,,,,,
Sri Lanka,2010,1970,2030,2130,2230,2350,2510,2660,2800,2880,3090
Lesotho,727,753,759,795,812,844,879,913,958,939,982
Lithuania,6420,6900,7420,8280,8920,9770,10.7k,12k,12.4k,10.7k,11.1k
Luxembourg,92.5k,94.2k,96.3k,97.6k,100k,101k,106k,112k,110k,105k,107k
Latvia,6730,7240,7850,8590,9410,10.5k,11.9k,13.2k,12.9k,11.2k,11k
"Macao, China",31.7k,32k,34.1k,37k,45.6k,47.9k,52.9k,59k,59.4k,58.6k,71.5k
Morocco,1680,1780,1810,1890,1960,2000,2120,2170,2260,2330,2390
Monaco,120k,123k,125k,126k,130k,133k,141k,162k,163k,142k,142k
Moldova,1340,1420,1540,1640,1770,1910,2000,2070,2230,2100,2250
Madagascar,474,488,415,442,452,460,471,483,501,467,457
Maldives,6900,6520,6880,7690,8020,6860,8450,8800,9300,8320,8620
Mexico,8950,8780,8650,8640,8850,8930,9200,9290,9280,8680,9000
Marshall Islands,2790,2970,3070,3020,3070,3130,3140,3260,3020,3140,3330
North Macedonia,3280,3170,3240,3300,3450,3600,3780,4020,4230,4210,4340
Mali,557,623,623,658,647,667,675,676,685,695,709
Malta,17.2k,16.9k,17.2k,17.7k,17.7k,18.1k,18.5k,19.3k,19.9k,19.6k,20.6k
Myanmar,318,354,391,438,494,556,625,698,771,846,925
Montenegro,4430,4460,4530,4620,4820,5010,5440,5800,6210,5830,5980
Mongolia,1560,1590,1650,1750,1920,2040,2200,2400,2590,2520,2650
Northern Mariana Islands,,,20.8k,21.6k,21.7k,19.8k,19.2k,18.8k,17.6k,15.2k,16.3k
Mozambique,294,321,342,356,374,389,416,437,457,473,489
Mauritania,1270,1220,1220,1270,1300,1380,1600,1530,1490,1450,1450
Mauritius,5670,5810,5870,6170,6400,6470,6760,7110,7470,7690,8010
Malawi,292,271,269,277,285,286,291,310,325,342,355
Malaysia,6460,6330,6510,6720,7000,7210,7440,7740,7950,7680,8100
Namibia,3080,3060,3150,3240,3590,3630,3850,4000,4050,4010,4190
New Caledonia,,,,,,,,,,,
Niger,389,403,409,403,390,404,413,411,427,419,438
Nigeria,1460,1510,1690,1770,1880,1950,2010,2090,2170,2280,2400
Nicaragua,1430,1450,1440,1460,1520,1570,1610,1670,1700,1620,1670
Netherlands,40.5k,41.1k,40.9k,40.8k,41.5k,42.2k,43.6k,45.1k,45.9k,44k,44.4k
Curaçao,21.5k,22.2k,22.2k,21.8k,21.5k,21.1k,20.9k,21k,21.2k,21k,20.7k
Norway,67.4k,68.5k,69.1k,69.3k,71.7k,73k,74.2k,75.6k,75k,72.8k,72.4k
Nepal,547,564,556,570,590,604,619,635,670,696,726
Nauru,,,,,3290,3190,3500,2710,3320,3620,4020
New Zealand,30.9k,31.7k,32.7k,33.5k,34.3k,35.1k,35.6k,36.4k,35.7k,35.3k,35.4k
Oman,20k,20.6k,20.1k,19.3k,19.3k,19.4k,20.1k,20.6k,21.9k,22.9k,21.8k
Pakistan,949,953,952,986,1040,1080,1120,1150,1140,1150,1140
Panama,7020,6930,6940,7100,7490,7870,8390,9230,9950,9900,10.3k
Peru,3280,3260,3390,3500,3640,3830,4080,4400,4760,4780,5140
Philippines,1830,1850,1880,1930,2020,2080,2150,2250,2300,2290,2420
Palau,11.4k,12.1k,12.5k,12.1k,12.6k,13.2k,13.3k,13.7k,13.1k,12.4k,12.6k
Papua New Guinea,2000,1930,1860,1840,1830,1890,1930,2010,1950,2020,2150
Poland,7340,7440,7590,7860,8260,8550,9080,9730,10.1k,10.4k,10.8k
Puerto Rico,26.1k,27.7k,27.9k,27.9k,30.4k,29.8k,29.5k,29.3k,29k,28.6k,28.6k
Portugal,18.8k,19k,19.1k,18.8k,19.1k,19.2k,19.5k,20k,20k,19.3k,19.7k
