country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Gambia,2070,2130,2020,2090,2180,2070,2000,1990,2050,2120,2170
Guinea-Bissau,1690,1690,1630,1600,1610,1640,1640,1650,1660,1670,1700
Equatorial Guinea,10.8k,16.7k,18.9k,20.5k,26.5k,29.2k,29.8k,32.6k,36.3k,34.8k,29.9k
Greece,29.1k,30.2k,31.3k,33.1k,34.7k,34.8k,36.6k,37.7k,37.5k,35.7k,33.7k
Grenada,11.4k,11.1k,11.4k,12.4k,12.2k,13.7k,13k,13.7k,13.7k,12.7k,12.5k
Guatemala,6710,6690,6770,6770,6810,6870,7060,7340,7410,7280,7340
Guyana,7460,7640,7750,7710,7850,7730,8160,8780,8990,9370,9830
"Hong Kong, China",37.5k,37.3k,37.6k,38.7k,41.6k,44.3k,46.9k,49.4k,50k,48.6k,51.4k
Honduras,4140,4130,4170,4250,4390,4540,4720,4880,4970,4730,4790
Croatia,18.4k,19.6k,20.7k,21.9k,22.9k,23.8k,25k,26.3k,26.8k,24.9k,24.6k
Haiti,2840,2790,2790,2850,2770,2830,2850,2940,2990,3130,2930
Hungary,19.2k,20.1k,21.2k,22.2k,23.4k,24.5k,25.5k,25.6k,25.9k,24.2k,24.5k
Indonesia,5850,5960,6120,6310,6510,6770,7020,7340,7650,7870,8210
India,2720,2790,2820,2970,3140,3310,3510,3700,3750,3960,4210
Ireland,49.2k,51.1k,53.1k,53.8k,56.4k,58.3k,59.5k,60.7k,56.6k,53.1k,53.5k
Iran,11.2k,11.4k,12.2k,13.1k,13.4k,13.6k,14.1k,14.9k,14.7k,14.6k,15.1k
Iraq,8120,8210,7540,4780,7150,7080,7420,7600,8050,7990,8180
Iceland,42.1k,43.2k,42.9k,43.5k,46.4k,48.4k,50.2k,53k,53.1k,48.8k,47.5k
Israel,31k,30.3k,29.6k,29.4k,30.1k,30.8k,31.8k,33.1k,33.5k,32.9k,34.1k
