country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
"Micronesia, Fed. Sts.",200.0,227.0,212.0,265.0,287.0,345.0,346.0,349.0,364.0,384.0,411.0
Gabon,123.0,144.0,138.0,179.0,171.0,143.0,159.0,180.0,168.0,245.0,276.0
UK,1450.0,1590.0,1740.0,1860.0,2070.0,2210.0,2410.0,2450.0,2660.0,2890.0,2920.0
Georgia,24.4,31.1,34.1,35.1,40.2,58.0,70.9,67.5,87.1,108.0,123.0
Ghana,21.8,31.3,24.0,26.6,43.0,56.3,38.9,52.0,48.6,43.5,50.5
Guinea,8.29,10.3,10.9,11.9,8.33,5.48,6.84,4.48,8.38,4.92,6.36
Gambia,20.1,23.4,22.6,32.1,42.3,39.3,39.3,31.5,32.8,44.6,40.5
Guinea-Bissau,10.2,9.67,23.7,12.3,8.36,9.08,9.24,10.0,9.89,9.6,10.0
Equatorial Guinea,68.6,148.0,428.0,263.0,275.0,248.0,304.0,407.0,506.0,1190.0,1170.0
Greece,871.0,1070.0,1140.0,1210.0,1240.0,1410.0,1620.0,1640.0,1800.0,1880.0,1700.0
Grenada,267.0,350.0,283.0,270.0,237.0,291.0,319.0,310.0,290.0,315.0,267.0
Guatemala,77.1,85.7,81.1,88.2,85.0,87.3,105.0,111.0,114.0,120.0,114.0
Guyana,102.0,106.0,111.0,105.0,140.0,153.0,108.0,81.8,154.0,158.0,142.0
Honduras,92.0,95.3,106.0,135.0,128.0,124.0,123.0,138.0,146.0,178.0,
Croatia,730.0,703.0,631.0,714.0,778.0,922.0,1020.0,1230.0,1340.0,1320.0,1290.0
Haiti,16.9,14.8,11.9,9.79,10.3,9.6,14.4,14.8,15.4,15.5,16.3
Hungary,603.0,669.0,782.0,935.0,945.0,1020.0,1080.0,1010.0,1060.0,1050.0,1020.0
Indonesia,16.4,23.4,21.7,27.4,26.9,28.3,34.6,45.0,44.3,46.3,55.0
India,17.3,17.7,17.5,18.2,18.7,22.0,24.6,27.8,32.0,37.6,38.6
Ireland,1320.0,1560.0,1780.0,1940.0,2140.0,2260.0,2440.0,2670.0,2890.0,2810.0,2560.0
Iran,127.0,155.0,168.0,180.0,185.0,231.0,255.0,268.0,309.0,299.0,336.0
Iraq,0.874,1.46,0.823,33.8,110.0,82.2,76.2,94.3,118.0,267.0,276.0
Iceland,2310.0,2380.0,2670.0,2680.0,2770.0,2760.0,2770.0,2900.0,3050.0,2940.0,2650.0
Israel,1110.0,1170.0,1180.0,1080.0,1120.0,1090.0,1120.0,1170.0,1250.0,1270.0,1320.0
Italy,1500.0,1660.0,1670.0,1690.0,1800.0,1920.0,2090.0,2120.0,2330.0,2390.0,2350.0
Jamaica,167.0,132.0,170.0,150.0,183.0,139.0,168.0,192.0,221.0,210.0,199.0
Jordan,147.0,160.0,171.0,169.0,197.0,202.0,200.0,248.0,289.0,347.0,303.0
Japan,1600.0,1690.0,1740.0,1800.0,1890.0,2030.0,2070.0,2210.0,2330.0,2510.0,2640.0
Kazakhstan,101.0,109.0,120.0,139.0,177.0,219.0,227.0,195.0,258.0,305.0,321.0
Kenya,24.6,24.3,22.8,23.1,22.7,24.8,26.9,29.1,26.2,32.6,34.4
Kyrgyz Republic,27.3,27.8,30.8,32.1,39.1,42.0,55.2,66.5,62.1,78.4,78.8
Cambodia,11.9,16.7,21.0,27.4,29.9,23.1,25.3,31.1,34.9,40.4,45.1
Kiribati,157.0,171.0,180.0,206.0,227.0,216.0,216.0,270.0,258.0,249.0,212.0
St. Kitts and Nevis,342.0,323.0,308.0,291.0,280.0,306.0,421.0,411.0,366.0,339.0,526.0
South Korea,375.0,504.0,519.0,548.0,597.0,683.0,812.0,921.0,971.0,1090.0,1190.0
Kuwait,535.0,815.0,801.0,851.0,795.0,758.0,763.0,722.0,823.0,1430.0,910.0
Lao,14.0,14.2,14.1,17.3,11.8,9.21,9.72,9.38,23.1,26.1,32.3
Lebanon,246.0,278.0,310.0,286.0,332.0,353.0,342.0,378.0,400.0,404.0,384.0
Liberia,5.66,6.67,4.58,3.58,4.21,5.41,6.97,10.8,15.9,17.1,16.0
Libya,214.0,289.0,342.0,338.0,275.0,245.0,237.0,312.0,362.0,478.0,490.0
